i;t;RTFR ;Pop;RoadDensity;Cars            ;Buses;Trucks;Alco;BlackIce;SnowStorm;Heat
30;4;25,00;447,8;563,63;276,12;1,27;4,52;4,05;1,0000;0,0000;0,0000
30;5;29,09;450,3;563,44;285,15;1,25;4,23;3,55;0,0000;0,0000;0,0000
31;1;34,10;287,8;40,00;193,40;1,78;5,73;3,37;0,0000;0,0000;0,0000
31;2;34,70;285,4;43,06;234,80;1,73;5,46;3,34;0,0000;0,0000;0,0000
31;3;36,70;283,1;45,55;262,00;1,83;5,16;2,89;0,0000;0,0000;0,0000
31;4;34,10;281,3;47,30;284,26;1,81;4,82;2,96;0,0000;0,0000;0,0000
31;5;33,25;279,6;46,80;290,83;1,77;4,51;2,90;1,0000;0,0000;1,0000
32;1;22,40;5257,2;296,00;261,70;1,85;5,52;7,05;0,0000;0,0000;1,0000
32;2;22,40;5307,3;419,08;277,10;1,91;5,51;6,79;0,0000;0,0000;0,0000
32;3;25,10;5367,2;427,69;289,50;1,91;5,31;6,45;1,0000;0,0000;0,0000
32;4;25,50;5428,8;437,55;298,28;1,89;5,05;6,29;1,0000;0,0000;1,0000
32;5;20,64;5483,6;447,03;300,79;1,72;4,88;5,93;0,0000;0,0000;0,0000
33;1;18,60;1012,4;75,00;236,90;2,00;4,21;8,35;0,0000;0,0000;0,0000
33;2;16,60;1014,4;80,55;256,20;1,90;3,86;8,82;0,0000;0,0000;0,0000
33;3;16,50;1015,2;83,90;238,70;1,97;4,08;7,89;0,0000;0,0000;0,0000
33;4;15,30;1018,9;87,07;247,28;1,85;3,90;6,77;0,0000;0,0000;1,0000
33;5;13,44;1020;88,08;254,16;1,82;3,61;4,97;0,0000;0,0000;1,0000
34;1;17,50;2601,2;119,00;218,00;1,80;6,03;7,09;0,0000;0,0000;0,0000
34;2;16,70;2588,9;134,16;228,50;1,78;5,85;6,93;0,0000;0,0000;0,0000
34;3;17,20;2576;139,71;234,00;1,66;5,45;6,92;1,0000;0,0000;0,0000
34;4;17,20;2563,3;140,28;265,02;1,51;5,27;6,31;0,0000;0,0000;1,0000
34;5;13,52;2551,7;140,87;335,00;1,53;5,11;4,95;0,0000;0,0000;0,0000
35;1;19,10;4267,9;139,00;243,50;1,80;6,55;5,73;0,0000;0,0000;0,0000
35;2;19,30;4257,6;202,27;260,50;1,92;6,61;5,78;0,0000;0,0000;0,0000
35;3;18,40;4250,1;258,28;289,30;1,93;6,68;5,64;1,0000;0,0000;0,0000
35;4;21,00;4243,8;259,75;296,55;1,97;6,50;5,41;0,0000;1,0000;0,0000
35;5;15,95;4239;261,41;297,55;1,87;6,15;5,31;0,0000;0,0000;0,0000
36;1;19,40;2922,3;384,00;121,30;0,56;1,36;3,90;0,0000;0,0000;0,0000
36;2;17,40;2938,2;371,30;132,50;0,53;1,26;3,75;0,0000;0,0000;0,0000
36;3;16,30;2955;370,00;154,30;0,52;1,00;2,40;0,0000;0,0000;0,0000
36;4;16,30;2977,1;370,20;164,51;0,51;1,00;1,54;0,0000;0,0000;0,0000
36;5;16,52;3003;396,78;172,06;0,56;0,88;1,10;0,0000;0,0000;1,0000
38;1;27,50;859,4;472,00;169,10;0,93;1,76;2,96;0,0000;0,0000;0,0000
38;2;24,70;859;528,88;187,40;0,79;1,63;2,33;0,0000;0,0000;0,0000
38;3;24,00;858,7;544,74;212,50;0,76;1,61;1,76;0,0000;0,0000;0,0000
38;4;21,60;859,6;564,88;217,52;0,84;1,66;1,24;0,0000;0,0000;1,0000
38;5;19,50;861,5;564,83;223,22;0,57;1,56;1,18;0,0000;0,0000;0,0000
39;1;26,90;476,1;254,00;193,40;1,72;3,74;2,80;0,0000;0,0000;0,0000
39;2;28,10;473,2;296,85;198,30;1,73;4,26;2,86;0,0000;0,0000;0,0000
39;3;27,80;470,8;331,15;214,40;1,69;4,36;2,20;0,0000;0,0000;0,0000
39;4;30,00;469,5;334,32;215,20;1,61;3,96;2,05;0,0000;0,0000;0,0000
39;5;27,54;468,4;340,78;201,40;1,50;4,06;2,02;0,0000;0,0000;0,0000
40;1;21,50;710,8;437,00;206,80;1,19;2,26;2,65;0,0000;0,0000;0,0000
40;2;22,00;707,6;663,18;224,10;1,14;2,12;2,54;0,0000;0,0000;0,0000
40;3;18,60;705,1;695,94;242,50;0,95;1,94;2,21;0,0000;0,0000;0,0000
40;4;20,30;704,6;697,18;258,66;0,97;2,04;1,70;0,0000;0,0000;0,0000
40;5;16,89;704,5;691,35;261,77;0,94;1,78;1,36;0,0000;0,0000;0,0000
42;1;17,70;2786,3;146,00;231,00;1,87;6,17;6,72;1,0000;0,0000;1,0000
42;2;18,10;2788,9;232,45;247,80;1,78;6,10;6,76;0,0000;0,0000;0,0000
42;3;18,70;2792,6;257,70;267,20;1,74;5,85;6,12;1,0000;0,0000;0,0000
42;4;20,00;2797;263,62;269,24;1,77;6,07;5,38;0,0000;0,0000;1,0000
42;5;17,14;2800,6;267,15;276,90;1,58;5,53;4,75;1,0000;0,0000;1,0000
43;1;17,80;4068,2;165,00;238,70;1,84;5,05;8,19;0,0000;0,0000;0,0000
43;2;17,40;4062,6;189,93;263,60;2,06;5,53;9,34;0,0000;0,0000;0,0000
43;3;17,40;4065,3;206,46;245,00;1,99;5,17;9,66;0,0000;0,0000;0,0000
43;4;17,30;4070,8;259,61;297,50;2,05;5,13;8,27;1,0000;0,0000;0,0000
43;5;14,83;4071,5;295,97;302,16;1,81;4,81;5,15;1,0000;1,0000;0,0000
44;1;16,60;693,9;154,00;166,10;1,90;5,91;8,00;0,0000;0,0000;0,0000
44;2;21,80;691,4;194,72;179,70;1,87;6,00;8,00;0,0000;0,0000;0,0000
44;3;21,00;689,5;205,09;196,70;1,90;5,97;7,17;0,0000;0,0000;0,0000
44;4;19,60;688,1;209,03;218,84;1,91;6,10;6,96;1,0000;0,0000;0,0000
44;5;14,71;686,7;209,94;222,90;1,87;5,99;6,65;0,0000;0,0000;0,0000
45;1;21,50;829,4;193,00;196,60;1,63;6,34;8,23;0,0000;0,0000;0,0000
45;2;26,60;822;255,97;189,40;1,64;6,18;8,30;0,0000;0,0000;0,0000
45;3;24,20;815,4;268,46;234,30;1,63;5,70;8,08;0,0000;0,0000;0,0000
45;4;24,90;810,5;275,63;253,87;1,70;5,82;7,30;0,0000;0,0000;0,0000
45;5;18,93;808,2;282,97;260,07;1,68;5,59;5,23;0,0000;0,0000;0,0000
46;1;18,30;3795,3;321,00;212,20;2,31;6,43;10,30;0,0000;0,0000;0,0000
46;2;18,20;3812,6;412,99;230,20;2,43;6,67;10,44;0,0000;1,0000;0,0000
46;3;18,50;3830,1;406,17;250,10;2,53;6,86;9,12;0,0000;0,0000;0,0000
46;4;16,00;3846,6;416,30;263,46;2,43;7,01;8,33;0,0000;0,0000;0,0000
46;5;12,74;3861,9;422,65;266,00;2,27;6,21;7,83;0,0000;1,0000;0,0000
47;1;19,40;1519,2;225,00;206,50;1,79;5,95;11,11;0,0000;0,0000;0,0000
47;2;17,70;1517,9;229,26;216,40;1,84;5,92;11,40;0,0000;0,0000;0,0000
47;3;17,00;1517,4;237,59;250,50;1,93;5,96;9,85;0,0000;0,0000;0,0000
47;4;16,60;1517,3;239,56;279,28;1,81;5,78;8,46;0,0000;0,0000;0,0000
47;5;13,77;1517,3;243,29;289,70;1,75;5,57;7,82;0,0000;0,0000;0,0000
48;1;20,90;1248,8;321,00;149,80;1,74;5,59;8,62;0,0000;0,0000;0,0000
48;2;21,30;1245,2;400,63;163,60;1,70;5,27;8,69;0,0000;0,0000;0,0000
48;3;20,40;1241,7;405,27;185,10;1,65;4,99;7,74;0,0000;0,0000;0,0000
48;4;19,80;1239;409,05;209,10;1,59;4,90;6,95;1,0000;0,0000;0,0000
48;5;16,81;1237,4;410,47;208,24;1,58;4,55;6,40;0,0000;0,0000;0,0000
49;1;21,70;2632,3;76,00;202,70;1,60;4,58;9,16;0,0000;0,0000;0,0000
49;2;22,60;2632,7;117,96;219,20;1,61;4,91;9,23;0,0000;0,0000;0,0000
49;3;22,80;2635,3;124,30;258,50;1,74;4,90;8,51;0,0000;0,0000;0,0000
49;4;17,80;2636,6;128,28;282,34;1,77;4,86;7,54;0,0000;0,0000;0,0000
49;5;15,97;2635,7;130,36;283,85;1,62;4,64;6,46;1,0000;0,0000;0,0000
50;1;19,80;1333,3;85,00;225,50;1,52;7,48;11,72;0,0000;0,0000;0,0000
50;2;18,20;1323,5;113,26;232,20;1,69;7,47;11,56;0,0000;0,0000;0,0000
50;3;17,40;1315;114,34;239,50;1,53;7,26;10,39;0,0000;0,0000;0,0000
50;4;18,00;1307,6;113,72;253,93;1,47;6,82;9,49;0,0000;0,0000;0,0000
50;5;14,76;1300,9;113,79;257,92;1,44;6,56;8,90;0,0000;0,0000;0,0000
51;1;20,90;3302,3;199,00;227,60;1,81;5,33;8,44;0,0000;0,0000;0,0000
51;2;21,40;3293,4;279,70;240,60;1,86;5,55;8,31;0,0000;0,0000;0,0000
51;3;22,10;3285,7;287,90;269,80;1,81;5,37;7,64;0,0000;0,0000;0,0000
51;4;20,50;3275,8;289,62;301,76;1,87;5,17;7,12;0,0000;0,0000;0,0000
51;5;15,99;3265,2;289,96;305,33;1,87;5,13;6,91;0,0000;0,0000;0,0000
52;1;18,10;2027,6;110,00;260,40;2,12;6,31;6,72;0,0000;0,0000;0,0000
52;2;18,30;2019,9;159,82;253,00;2,15;6,36;6,74;0,0000;0,0000;0,0000
52;3;17,60;2012,3;166,53;298,10;2,19;6,02;6,23;0,0000;0,0000;0,0000
52;4;20,90;2004,8;168,14;317,13;1,98;5,67;5,31;0,0000;0,0000;0,0000
52;5;17,67;1997,9;167,39;325,90;1,87;5,47;4,72;0,0000;1,0000;0,0000
53;1;22,10;1380,3;156,00;238,70;1,41;4,91;8,78;0,0000;0,0000;0,0000
53;2;21,60;1372,6;275,39;256,60;1,44;4,73;8,86;0,0000;0,0000;0,0000
53;3;20,40;1364,6;265,47;276,40;1,43;4,69;9,92;0,0000;0,0000;0,0000
53;4;18,80;1358,1;278,66;294,63;1,46;4,67;8,35;0,0000;0,0000;0,0000
53;5;17,23;1352,2;285,87;300,61;1,38;4,39;6,22;0,0000;0,0000;0,0000
54;1;15,30;3214,7;235,00;254,80;1,70;4,14;8,27;0,0000;0,0000;0,0000
54;2;18,40;3213,7;273,97;257,20;1,73;4,62;7,42;0,0000;0,0000;0,0000
54;3;18,00;3212,3;283,68;285,00;1,77;4,56;6,89;0,0000;0,0000;0,0000
54;4;16,60;3212;301,20;295,27;1,79;4,70;6,20;0,0000;0,0000;0,0000
54;5;13,40;3209,3;304,49;295,98;1,60;4,45;6,15;0,0000;0,0000;0,0000
55;1;17,70;2514;115,00;248,90;1,57;5,05;7,31;0,0000;0,0000;0,0000
55;2;17,50;2506;171,03;264,30;1,68;5,06;7,49;0,0000;0,0000;0,0000
55;3;16,80;2499,9;175,59;280,30;1,69;5,02;5,20;0,0000;0,0000;0,0000
55;4;16,90;2494,8;173,23;313,69;1,66;5,29;4,35;0,0000;0,0000;0,0000
55;5;14,54;2490,3;178,77;317,80;1,58;4,79;4,40;0,0000;1,0000;1,0000
56;1;18,00;1286,3;166,00;212,00;1,81;5,18;7,49;0,0000;0,0000;0,0000
56;2;16,60;1278,3;180,04;231,70;1,74;5,10;7,27;0,0000;0,0000;0,0000
56;3;19,00;1271;215,00;243,90;1,72;5,01;7,03;0,0000;0,0000;0,0000
56;4;17,60;1265,1;221,00;258,44;1,77;4,87;5,81;0,0000;0,0000;0,0000
56;5;15,56;1260,1;237,36;263,21;1,69;4,44;6,03;0,0000;0,0000;0,0000
57;1;23,90;902,5;109,00;246,80;1,78;5,01;8,52;0,0000;0,0000;0,0000
57;2;26,40;891;126,52;265,30;1,78;4,94;8,15;0,0000;0,0000;0,0000
57;3;29,60;881,5;128,72;281,60;1,81;4,97;7,44;0,0000;0,0000;0,0000
57;4;26,70;873,5;129,71;301,41;1,84;5,28;6,39;0,0000;0,0000;0,0000
57;5;22,87;865,9;131,67;308,08;1,70;5,05;5,65;0,0000;0,0000;0,0000
58;1;17,40;4302,4;66,00;285,60;1,39;4,45;11,47;0,0000;0,0000;0,0000
58;2;19,40;4311,7;93,16;303,80;1,39;4,57;10,78;0,0000;0,0000;0,0000
58;3;15,70;4318,2;116,57;312,60;1,34;4,46;11,10;0,0000;0,0000;0,0000
58;4;14,70;4324,1;121,09;319,80;1,29;4,34;8,74;0,0000;0,0000;0,0000
58;5;12,06;4328,7;122,70;353,69;1,28;4,16;7,54;1,0000;0,0000;0,0000
61;1;22,90;1352,4;51,41;276,50;2,87;7,56;10,94;0,0000;0,0000;0,0000
61;2;27,70;1373,3;82,02;301,80;2,92;7,84;10,80;0,0000;0,0000;0,0000
61;3;24,80;1397,2;81,86;295,00;2,78;7,79;10,52;0,0000;0,0000;0,0000
61;4;19,20;1419,3;82,87;313,60;2,81;7,91;9,20;0,0000;0,0000;0,0000
61;5;15,81;1442;83,83;294,18;2,75;7,57;8,83;0,0000;0,0000;0,0000
62;1;17,40;3477,9;111,00;243,40;1,52;4,82;10,41;0,0000;0,0000;0,0000
