i;t;RTFR ;Pop;RoadDensity
72;1;17,40;2676,6;66,00
72;2;16,80;2698,2;89,61
72;3;19,30;2720,3;99,01
72;4;16,50;2739;101,99
72;5;13,07;2754,5;109,06
73;1;15,10;1975,7;76,00
73;2;19,00;1974,4;96,57
73;3;16,20;1973,9;96,47
73;4;13,90;1976;98,06
73;5;13,09;1978,3;97,88
74;1;17,30;1053,1;14,00
74;2;11,90;1061;22,16
74;3;13,40;1067,2;22,60
74;4;12,00;1072,3;23,67
74;5;10,04;1075,6;23,83
75;1;16,40;957;2,70
75;2;14,00;955,7;3,33
75;3;16,30;955,2;3,58
75;4;14,60;955,9;3,69
75;5;12,42;958,3;3,80
77;1;24,40;1952;51,00
77;2;25,50;1948,9;87,55
77;3;22,00;1942,9;88,99
77;4;20,20;1935,9;89,33
77;5;15,64;1931,1;93,42
78;1;18,30;1342,7;7,50
78;2;17,40;1342,3;8,00
78;3;16,00;1341;10,73
78;4;13,50;1339,1;11,85
78;5;14,67;1336,5;12,39
79;1;23,80;825,1;23,00
79;2;23,40;819,3;29,65
79;3;23,20;814,1;30,29
79;4;21,00;810,6;31,34
79;5;18,82;807,8;34,14
80;1;23,10;155,5;4,70
80;2;31,90;153,4;5,28
80;3;21,10;151,4;5,15
80;4;19,40;149,2;5,26
80;5;20,38;147,2;5,33
