i;t;Alco;BlackIce;SnowStorm;Heat
50;1;11,72;0,0000;0,0000;0,0000
50;2;11,56;0,0000;0,0000;0,0000
50;3;10,39;0,0000;0,0000;0,0000
50;4;9,49;0,0000;0,0000;0,0000
50;5;8,90;0,0000;0,0000;0,0000
51;1;8,44;0,0000;0,0000;0,0000
51;2;8,31;0,0000;0,0000;0,0000
51;3;7,64;0,0000;0,0000;0,0000
51;4;7,12;0,0000;0,0000;0,0000
51;5;6,91;0,0000;0,0000;0,0000
52;1;6,72;0,0000;0,0000;0,0000
52;2;6,74;0,0000;0,0000;0,0000
52;3;6,23;0,0000;0,0000;0,0000
52;4;5,31;0,0000;0,0000;0,0000
52;5;4,72;0,0000;1,0000;0,0000
53;1;8,78;0,0000;0,0000;0,0000
53;2;8,86;0,0000;0,0000;0,0000
53;3;9,92;0,0000;0,0000;0,0000
53;4;8,35;0,0000;0,0000;0,0000
53;5;6,22;0,0000;0,0000;0,0000
54;1;8,27;0,0000;0,0000;0,0000
54;2;7,42;0,0000;0,0000;0,0000
54;3;6,89;0,0000;0,0000;0,0000
54;4;6,20;0,0000;0,0000;0,0000
54;5;6,15;0,0000;0,0000;0,0000
55;1;7,31;0,0000;0,0000;0,0000
55;2;7,49;0,0000;0,0000;0,0000
55;3;5,20;0,0000;0,0000;0,0000
55;4;4,35;0,0000;0,0000;0,0000
55;5;4,40;0,0000;1,0000;1,0000
56;1;7,49;0,0000;0,0000;0,0000
56;2;7,27;0,0000;0,0000;0,0000
56;3;7,03;0,0000;0,0000;0,0000
56;4;5,81;0,0000;0,0000;0,0000
56;5;6,03;0,0000;0,0000;0,0000
57;1;8,52;0,0000;0,0000;0,0000
57;2;8,15;0,0000;0,0000;0,0000
57;3;7,44;0,0000;0,0000;0,0000
57;4;6,39;0,0000;0,0000;0,0000
57;5;5,65;0,0000;0,0000;0,0000
58;1;11,47;0,0000;0,0000;0,0000
58;2;10,78;0,0000;0,0000;0,0000
58;3;11,10;0,0000;0,0000;0,0000
58;4;8,74;0,0000;0,0000;0,0000
58;5;7,54;1,0000;0,0000;0,0000
61;1;10,94;0,0000;0,0000;0,0000
61;2;10,80;0,0000;0,0000;0,0000
61;3;10,52;0,0000;0,0000;0,0000
61;4;9,20;0,0000;0,0000;0,0000
61;5;8,83;0,0000;0,0000;0,0000
62;1;10,41;0,0000;0,0000;0,0000
62;2;10,01;0,0000;0,0000;0,0000
62;3;7,88;0,0000;0,0000;0,0000
62;4;6,29;0,0000;0,0000;0,0000
62;5;5,02;0,0000;0,0000;0,0000
63;1;8,23;1,0000;1,0000;0,0000
63;2;8,07;0,0000;0,0000;0,0000
63;3;7,52;0,0000;0,0000;0,0000
63;4;6,52;0,0000;0,0000;0,0000
63;5;6,00;0,0000;0,0000;0,0000
64;1;8,50;0,0000;0,0000;1,0000
64;2;8,32;0,0000;1,0000;0,0000
64;3;7,01;0,0000;0,0000;0,0000
64;4;6,50;0,0000;0,0000;0,0000
64;5;6,02;0,0000;0,0000;1,0000
66;1;9,49;0,0000;0,0000;0,0000
66;2;8,94;0,0000;0,0000;0,0000
66;3;7,00;0,0000;0,0000;0,0000
66;4;6,95;0,0000;0,0000;0,0000
66;5;7,08;0,0000;0,0000;1,0000
67;1;8,48;1,0000;1,0000;0,0000
67;2;8,91;0,0000;0,0000;0,0000
67;3;7,75;0,0000;1,0000;0,0000
67;4;5,81;0,0000;0,0000;0,0000
67;5;5,00;1,0000;1,0000;0,0000
68;1;10,03;0,0000;0,0000;1,0000
68;2;9,98;0,0000;0,0000;0,0000
68;3;9,48;0,0000;0,0000;0,0000
68;4;7,01;0,0000;0,0000;0,0000
68;5;5,63;0,0000;0,0000;1,0000
69;1;9,71;0,0000;1,0000;0,0000
69;2;9,53;0,0000;1,0000;0,0000
69;3;8,78;0,0000;1,0000;0,0000
69;4;6,96;0,0000;0,0000;0,0000
69;5;6,59;0,0000;1,0000;1,0000
70;1;9,42;0,0000;0,0000;0,0000
70;2;9,13;0,0000;0,0000;0,0000
70;3;8,60;0,0000;0,0000;0,0000
70;4;8,06;0,0000;0,0000;0,0000
70;5;7,35;0,0000;0,0000;0,0000
71;1;10,48;1,0000;1,0000;0,0000
71;2;10,72;0,0000;0,0000;0,0000
71;3;9,68;0,0000;0,0000;0,0000
71;4;7,66;0,0000;0,0000;0,0000
71;5;7,51;0,0000;1,0000;0,0000
72;1;9,60;1,0000;1,0000;0,0000
72;2;9,64;0,0000;0,0000;0,0000
72;3;8,21;0,0000;0,0000;0,0000
72;4;7,41;0,0000;0,0000;0,0000
72;5;6,00;0,0000;1,0000;0,0000
73;1;10,08;0,0000;0,0000;0,0000
73;2;10,12;0,0000;0,0000;0,0000
73;3;8,36;0,0000;0,0000;0,0000
73;4;6,88;0,0000;0,0000;0,0000
73;5;5,43;0,0000;0,0000;0,0000
74;1;9,07;1,0000;1,0000;0,0000
74;2;8,70;0,0000;0,0000;0,0000
74;3;8,52;0,0000;0,0000;0,0000
74;4;6,24;0,0000;0,0000;0,0000
74;5;5,23;0,0000;0,0000;0,0000
75;1;8,84;0,0000;0,0000;0,0000
75;2;8,80;0,0000;0,0000;0,0000
75;3;8,25;0,0000;0,0000;0,0000
75;4;7,95;0,0000;0,0000;0,0000
75;5;7,54;0,0000;0,0000;0,0000
77;1;9,50;0,0000;0,0000;0,0000
77;2;9,43;0,0000;0,0000;0,0000
77;3;9,55;0,0000;0,0000;0,0000
77;4;9,58;0,0000;0,0000;0,0000
77;5;8,12;0,0000;0,0000;0,0000
78;1;13,69;0,0000;0,0000;0,0000
78;2;13,73;0,0000;1,0000;0,0000
78;3;12,06;0,0000;0,0000;0,0000
78;4;10,93;0,0000;1,0000;0,0000
78;5;9,38;0,0000;1,0000;0,0000
79;1;10,39;0,0000;0,0000;0,0000
79;2;10,33;0,0000;0,0000;0,0000
79;3;9,23;0,0000;0,0000;0,0000
79;4;7,87;0,0000;0,0000;0,0000
79;5;6,51;0,0000;0,0000;0,0000
80;1;12,03;0,0000;0,0000;0,0000
80;2;15,18;0,0000;0,0000;0,0000
80;3;12,64;0,0000;0,0000;0,0000
80;4;12,35;0,0000;0,0000;0,0000
80;5;11,00;0,0000;0,0000;0,0000
